species,soil_code,elevation,sepal_length,sepal_width,petal_length,petal_width,petal_curvature_mm,leaf_area_cm2
setosa,2,161.8,5.16,3.41,1.64,0.26,5.33,53.21
setosa,0,291.4,5.48,4.05,1.53,0.37,5.9,52.53
setosa,2,144.3,5.1,2.8,1.47,0.38,5.66,50.25
setosa,0,114.6,4.64,3.44,1.53,0.17,4.51,50.85
setosa,1,110.9,4.85,2.87,1.23,0.26,4.03,40.57
setosa,0,164.4,4.91,3.19,1.86,0.35,6.18,48.14
setosa,0,239.9,4.47,3.91,1.42,0.41,6.13,46.59
setosa,1,101.5,5.05,4.13,1.59,0.22,5.09,46.7
setosa,0,227.3,5.2,3.22,1.44,0.21,4.36,53.0
setosa,2,55.3,4.68,2.95,1.59,0.15,5.48,45.7
setosa,0,154.7,4.85,3.68,1.53,0.36,4.95,46.98
setosa,0,244.0,4.68,4.09,1.12,0.24,4.94,39.56
setosa,0,134.7,5.35,3.5,1.66,0.2,5.45,48.53
setosa,1,190.9,5.23,3.78,1.38,0.33,5.17,44.56
setosa,0,101.2,5.4,4.1,1.34,0.29,4.41,50.4
setosa,0,235.5,4.48,3.31,1.4,0.27,4.84,45.24
setosa,2,63.1,5.22,3.32,1.81,0.35,5.33,50.52
setosa,0,263.1,5.01,4.27,1.55,0.28,5.26,49.28
setosa,0,99.5,4.34,3.96,1.62,0.49,5.13,58.36
setosa,0,268.6,4.95,2.92,1.65,0.28,5.47,52.49
setosa,0,138.1,5.77,3.45,1.45,0.33,4.82,40.8
setosa,2,230.7,5.18,2.96,1.26,0.22,5.09,43.68
setosa,2,129.8,5.34,3.15,1.33,0.2,3.31,50.28
setosa,1,276.5,4.75,2.8,1.15,0.31,4.78,45.35
setosa,0,81.7,5.15,3.58,1.63,0.29,5.38,35.16
setosa,1,94.6,5.16,3.14,1.36,0.27,4.8,56.75
setosa,1,173.3,5.57,3.4,1.43,0.32,4.77,53.6
setosa,0,70.5,4.58,3.68,1.6,0.3,4.48,52.6
setosa,2,99.0,5.16,3.02,1.64,0.43,5.5,46.96
setosa,2,285.9,5.32,3.12,1.59,0.15,5.27,52.14
setosa,0,294.1,5.35,3.16,1.66,0.24,5.41,46.48
setosa,0,144.1,4.91,3.52,1.61,0.48,4.14,51.02
setosa,2,280.8,4.35,2.75,1.39,0.22,4.92,45.4
setosa,0,186.2,4.63,4.47,1.18,0.47,4.86,57.58
setosa,0,117.4,5.46,3.15,1.29,0.3,4.86,42.15
setosa,0,225.6,4.39,3.83,1.56,0.43,4.69,56.16
setosa,2,214.7,4.48,2.4,1.54,0.27,4.83,50.19
setosa,1,297.3,4.96,3.61,1.64,0.34,5.42,47.55
setosa,1,116.3,5.37,3.01,1.2,0.31,4.04,50.84
setosa,0,218.0,4.52,3.95,1.91,0.42,5.89,53.67
setosa,2,63.0,5.74,2.73,1.54,0.32,5.24,56.83
setosa,0,78.4,5.53,4.56,1.77,0.36,4.98,51.57
setosa,2,51.0,4.9,2.56,1.51,0.23,5.45,45.55
setosa,0,299.9,5.01,4.05,1.35,0.34,4.27,50.28
setosa,2,250.6,4.87,3.85,1.5,0.37,4.67,59.08
setosa,2,246.7,4.57,3.12,1.56,0.24,4.94,56.74
setosa,1,177.4,5.09,3.47,1.69,0.35,5.68,54.54
setosa,0,125.0,5.14,4.06,1.44,0.21,4.98,53.98
setosa,1,87.8,5.33,3.63,1.63,0.26,5.23,53.5
setosa,1,121.2,5.31,2.94,1.44,0.29,4.71,55.79
setosa,2,144.0,5.63,3.26,1.7,0.27,5.24,47.72
setosa,0,239.1,5.04,3.92,1.4,0.21,5.84,43.22
setosa,2,184.9,5.09,3.27,1.51,0.59,5.5,50.35
setosa,2,69.4,5.11,3.14,1.77,0.26,4.96,45.91
setosa,2,54.5,5.0,2.9,1.41,0.24,5.34,44.72
setosa,0,75.6,5.49,3.03,1.97,0.18,5.29,46.4
setosa,0,152.6,4.99,3.43,1.39,0.55,5.25,62.43
setosa,2,283.3,4.66,2.97,1.42,0.33,5.56,50.68
setosa,0,209.4,5.67,4.02,1.58,0.29,5.55,51.81
setosa,2,250.5,4.62,3.15,1.07,0.25,4.94,43.89
setosa,0,166.6,5.01,3.97,1.24,0.33,5.32,40.78
setosa,0,140.4,5.04,3.48,1.33,0.27,4.81,45.9
setosa,1,77.1,4.8,3.89,1.99,0.32,4.54,57.19
setosa,2,269.0,4.39,2.83,1.92,0.29,4.87,51.67
setosa,1,245.8,5.06,3.81,1.81,0.22,4.96,52.99
setosa,1,92.0,4.08,3.03,1.29,0.29,4.17,53.69
setosa,2,178.1,5.45,2.47,1.48,0.17,5.43,47.04
setosa,2,171.8,5.43,2.38,1.33,0.2,3.62,56.94
setosa,0,206.3,4.55,4.0,1.83,0.37,6.36,46.84
setosa,2,286.5,4.95,2.82,1.6,0.28,5.75,57.03
setosa,1,194.9,5.45,2.84,1.45,0.34,4.87,52.21
setosa,1,185.1,4.8,3.58,1.8,0.1,5.0,41.05
setosa,2,62.6,5.14,2.69,1.54,0.24,5.15,46.26
setosa,1,65.7,5.26,3.16,1.31,0.37,4.71,41.08
setosa,0,96.8,5.55,4.1,1.86,0.34,5.1,55.82
setosa,1,58.1,5.49,3.59,1.37,0.26,4.93,49.88
setosa,0,235.8,5.27,3.57,1.45,0.28,4.95,38.86
setosa,1,230.8,4.84,3.79,1.58,0.29,5.09,51.88
setosa,0,84.0,5.68,3.66,1.62,0.36,4.34,47.31
setosa,0,259.0,4.97,3.63,1.56,0.27,5.02,42.58
setosa,2,88.7,5.01,3.72,1.63,0.35,5.08,58.39
setosa,0,125.3,5.7,3.94,1.36,0.24,5.06,50.54
setosa,2,112.2,5.19,2.55,1.64,0.29,4.89,48.53
setosa,1,143.1,5.6,3.32,1.67,0.25,5.57,48.0
setosa,1,113.7,5.32,3.14,1.39,0.21,4.82,42.43
setosa,1,172.2,4.94,3.19,1.4,0.26,5.11,43.48
setosa,0,151.9,4.43,3.23,1.54,0.39,5.65,56.42
setosa,1,296.6,5.0,3.96,1.22,0.33,4.96,47.63
setosa,1,64.0,5.22,3.05,1.8,0.27,5.11,50.11
setosa,2,85.5,5.3,2.59,1.58,0.16,4.95,39.78
setosa,2,63.2,5.11,2.96,1.66,0.37,5.62,43.41
setosa,1,206.5,4.99,3.45,1.61,0.27,4.87,53.05
setosa,1,63.6,5.26,3.47,1.62,0.26,5.64,51.89
setosa,0,259.1,5.69,3.43,1.67,0.49,4.95,58.77
setosa,0,178.0,5.71,3.43,1.58,0.37,4.57,56.71
setosa,1,181.8,4.16,3.13,1.36,0.24,5.34,48.85
setosa,2,190.4,5.05,3.49,1.37,0.25,4.85,52.36
setosa,1,92.7,4.88,3.61,1.81,0.25,5.31,48.42
setosa,0,99.4,5.72,3.68,1.19,0.5,3.64,60.27
setosa,2,129.7,5.27,3.32,1.32,0.36,5.0,55.75
setosa,2,198.4,4.91,2.8,1.29,0.14,4.77,50.85
setosa,0,102.5,4.86,3.63,1.45,0.35,4.47,51.0
setosa,1,79.1,5.55,3.01,1.7,0.31,4.72,57.22
setosa,1,292.5,5.05,3.14,1.07,0.47,4.71,52.9
setosa,1,55.5,5.73,3.52,1.98,0.32,4.98,57.79
setosa,0,250.7,4.74,4.15,1.7,0.41,4.32,39.03
setosa,2,247.0,4.59,3.15,1.6,0.38,5.16,52.31
setosa,0,124.3,4.82,2.91,1.85,0.19,5.68,47.42
setosa,1,83.9,5.84,3.44,1.59,0.39,5.14,58.78
setosa,0,86.4,4.66,3.72,1.92,0.27,5.4,57.73
setosa,2,224.4,4.18,2.86,1.5,0.33,5.55,50.16
setosa,0,210.7,5.08,3.38,1.3,0.47,5.62,57.68
setosa,1,245.7,4.93,3.76,1.42,0.34,5.94,58.92
setosa,2,284.4,4.72,2.64,1.34,0.25,4.75,50.37
setosa,0,223.0,4.78,3.31,1.46,0.28,4.64,62.36
setosa,0,89.0,4.93,3.81,1.94,0.35,5.39,49.84
setosa,2,110.9,5.42,3.16,1.55,0.27,5.35,48.93
setosa,2,260.5,4.82,2.15,1.36,0.29,5.39,54.33
setosa,1,102.3,5.88,3.26,1.39,0.44,5.94,48.23
setosa,2,68.1,6.36,3.16,1.7,0.26,5.01,50.43
setosa,1,225.8,4.39,3.53,1.48,0.28,5.21,57.05
